Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
1.0,6000.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1000.0,6000.0,4.3625276e-10,-0.0,0.0,-2.3959749,0.0,140.0,80536.0
1001.0,6000.0,4.3614281e-10,0.0,0.0,-2.3956763,0.0,0.0,80536.0
2000.0,6000.0,3.4134417e-10,4.995e-06,0.0,-2.1200169,0.0,0.0,80536.0
3000.0,6000.0,2.6950428e-10,9.995e-06,0.0,-1.8841776,0.0,0.0,80536.0
4000.0,6000.0,2.1454886e-10,1.4995e-05,0.0,-1.6813301,0.0,0.0,80536.0
5000.0,6000.0,1.7211022e-10,1.9995e-05,0.0,-1.5059742,0.0,0.0,80536.0
6000.0,6000.0,1.390527e-10,2.4995e-05,0.0,-1.3536719,0.0,0.0,80536.0
7000.0,6000.0,1.1309583e-10,2.9995e-05,0.0,-1.2208115,0.0,0.0,80536.0
8000.0,6000.0,9.2561984e-11,3.4995e-05,0.0,-1.1044331,0.0,0.0,80536.0
9000.0,6000.0,7.6204359e-11,3.9995e-05,0.0,-1.0020952,0.0,0.0,80536.0
10000.0,6000.0,6.3087711e-11,4.4995e-05,0.0,-0.91177362,0.0,0.0,80536.0
11000.0,6000.0,5.2504552e-11,4.9995e-05,0.0,-0.8317805,0.0,0.0,80536.0
12000.0,6000.0,4.3915376e-11,5.4995e-05,0.0,-0.76070226,0.0,0.0,80536.0
13000.0,6000.0,3.6905645e-11,5.9995e-05,0.0,-0.6973479,0.0,0.0,80536.0
14000.0,6000.0,3.1154688e-11,6.4995e-05,0.0,-0.64071095,0.0,0.0,80536.0
15000.0,6000.0,2.6412732e-11,6.9995e-05,0.0,-0.58993616,0.0,0.0,80536.0
16000.0,6000.0,7.3703164e-11,7.4995e-05,0.67773762,-0.54429451,0.0,0.0,80536.0
17000.0,6000.0,2.8351995e-09,7.9995e-05,0.26570216,-0.50316221,0.0,68.0,80468.0
18000.0,6000.0,1.1054885e-08,8.4995e-05,11.43461,-0.46600276,0.0,0.0,80468.0
19000.0,6000.0,4.568712e-09,8.9995e-05,0.60188237,-0.43235431,0.0,144.0,80324.0
20000.0,6000.0,5.116827e-09,9.4995e-05,5.7652627,-0.40181677,0.0,0.0,80324.0
21000.0,6000.0,5.5707565e-08,9.9995e-05,26.130502,-0.37404332,0.0,0.0,80324.0
21001.0,6000.0,5.5808423e-08,0.0001,26.155246,-0.37401681,0.0,0.0,80324.0
